Formal--Informal,Industrial--Rustic,Maximalist--Minimalist,Traditional--Modern,style
1.1093723558670696,1.0,1.4561363470944515,5.0,Art Deco
1.0,5.0,1.0,5.0,Asian-Inspired
5.0,5.0,1.0,5.0,Bohemian
5.0,5.0,5.0,5.0,Coastal
1.0,1.0,4.2469467428481575,5.0,Contemporary
5.0,5.0,1.0,3.5690467725376553,Cottage
1.0,5.0,5.0,1.0,Craftsman
3.8695375944344046,1.0,1.0,1.0,Eclectic
5.0,1.0,5.0,5.0,Euro Modern
5.0,3.980992556905247,5.0,1.0,Farmhouse
5.0,2.5963575797166523,1.0,1.0,French Country
1.0,1.0,1.0,5.0,Hollywood Glam
1.0,4.206884129069781,5.0,5.0,Industrial
1.4385486186806509,5.0,5.0,5.0,Japandi
5.0,1.0,1.0,2.6158094927280477,Mediterranean
4.358768779340723,1.0,3.9770826383484668,5.0,Mid-Century
3.8868011425208384,4.718548632711356,5.0,5.0,Minimalist
1.0,1.0,5.0,5.0,Modern
5.0,2.003427718335188,1.7010820757121814,5.0,Modern Farmhouse
1.0,4.343537554053388,5.0,1.1807048547692753,Modern Traditional
5.0,5.0,5.0,2.590721144224636,Mountain West
5.0,1.5289893106193666,5.0,1.0,New England
2.204224782940289,5.0,3.6732159697175706,5.0,Organic Modern
5.0,1.0,5.0,1.837060899975708,Pacific Northwest
5.0,5.0,5.0,1.0,Rustic
5.0,3.229939845965306,5.0,5.0,Scandinavian
5.0,2.885080092195513,1.0,3.524079438905814,Shabby Chic
2.785119720490517,5.0,5.0,1.0,Shaker
5.0,5.0,1.0,1.4450714298047416,Southwestern
5.0,5.0,1.0,1.0,Spanish Mission
1.0,3.8097602703271614,1.0,1.0,Traditional
1.0,1.0,1.0,1.0,Transitional
1.0,5.0,1.0,1.0,Victorian
